Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,H,L,M
298.249,308.8,1379,40.53,7,0,0,0,0,0,0,0,1,0
300.52,310.7,1752,21.11,147,0,0,0,0,0,0,0,1,0
297.986,308.4,1437,42.53,201,0,0,0,0,0,0,0,1,0
301.014,311.1,1540,38.23,17,0,0,0,0,0,0,0,1,0
300.487,310.5,1463,42.05,53,0,0,0,0,0,0,0,0,1
297.404,308.7,1389,47.74,144,0,0,0,0,0,0,0,1,0
301.963,311.4,1435,47.52,16,0,0,0,0,0,0,0,0,1
300.469,311.6,1432,45.5,34,0,0,0,0,0,0,0,0,1
298.167,308.6,1428,48.55,77,0,0,0,0,0,0,0,1,0
300.311,311.4,1414,36.11,60,0,0,0,0,0,0,0,1,0
300.19,310.8,1401,48.02,104,0,0,0,0,0,0,0,1,0
299.748,309.4,1566,40.69,131,0,0,0,0,0,0,0,1,0
297.633,309.8,1542,35.23,199,0,0,0,0,0,0,0,1,0
301.044,309.4,1472,36.65,65,0,0,0,0,0,0,0,1,0
300.331,309.1,1425,50.3,52,0,0,0,0,0,0,1,0,0
296.631,308.3,1500,40.04,43,0,0,0,0,0,0,0,1,0
302.692,311.0,1461,52.48,154,0,0,0,0,0,0,0,1,0
297.39,308.4,1529,38.82,104,0,0,0,0,0,0,0,1,0
301.511,310.5,1479,38.16,98,0,0,0,0,0,0,0,1,0
300.688,311.6,1649,30.47,20,0,0,0,0,0,0,1,0,0
298.96,309.6,1341,46.49,87,0,0,0,0,0,0,0,1,0
301.511,310.3,1443,29.92,141,0,0,0,0,0,0,0,0,1
297.06,308.0,1548,31.48,153,0,0,0,0,0,0,0,1,0
297.364,308.2,1335,45.77,158,0,0,0,0,0,0,0,1,0
297.111,308.1,1410,49.58,42,0,0,0,0,0,0,0,0,1
300.649,310.6,1444,58.4,5,0,0,0,0,0,0,0,0,1
297.465,309.0,1791,19.4,70,0,0,0,0,0,0,0,0,0
298.229,308.6,1357,44.25,91,0,0,0,0,0,0,0,1,0
297.204,308.5,1504,40.53,59,0,0,0,0,0,0,0,1,0
302.82,311.0,1461,37.47,162,0,0,0,0,0,0,0,1,0
297.62,308.6,1436,46.18,66,0,0,0,0,0,0,0,1,0
300.276,311.3,1479,45.97,5,0,0,0,0,0,0,0,1,0
299.234,308.8,1334,58.28,7,0,0,0,0,0,0,0,1,0
300.407,310.7,1444,42.56,194,0,0,0,0,0,0,0,0,1
299.987,309.4,1720,33.3,128,0,0,0,0,0,0,1,0,0
301.814,312.2,1370,53.65,210,0,0,0,0,0,0,0,0,1
300.641,309.7,1451,45.28,6,0,0,0,0,0,0,0,0,1
297.469,309.0,1824,21.91,176,0,0,0,0,0,0,0,1,0
298.954,310.7,1534,37.42,216,0,0,0,0,0,0,0,1,0
298.023,308.6,1426,46.85,33,0,0,0,0,0,0,0,1,0
300.683,312.0,1441,42.3,166,0,0,0,0,0,0,0,1,0
300.55,311.7,1642,30.4,99,0,0,0,0,0,0,0,1,0
300.857,311.3,1468,35.57,90,0,0,0,0,0,0,0,1,0
297.298,307.9,1497,46.66,149,0,0,0,0,0,0,0,1,0
296.775,308.1,1432,45.16,72,0,0,0,0,0,0,0,1,0
297.79,308.9,1614,34.33,199,0,0,0,0,0,0,1,1,0
299.973,309.1,1470,42.73,206,0,0,0,0,0,0,0,1,0
301.604,311.0,1600,39.27,116,0,0,0,0,0,0,0,1,0
299.198,309.5,1477,43.79,10,0,0,0,0,0,0,0,1,0
297.368,308.0,1322,44.46,112,0,0,0,0,0,0,0,1,0
299.199,309.1,1622,44.25,160,0,0,0,0,0,0,0,1,0
296.729,306.8,1622,41.46,123,0,0,0,0,0,0,1,0,0
297.307,308.9,1389,66.73,69,0,0,0,0,0,0,0,1,0
297.327,308.2,1402,64.22,12,1,0,0,0,0,0,0,0,1
297.462,307.9,1550,31.88,155,0,0,0,0,0,0,0,0,1
302.504,311.6,1538,36.7,55,0,0,0,0,0,0,1,0,0
302.31,311.1,1543,37.16,59,0,0,0,0,0,0,0,0,1
300.12,309.0,1446,41.13,101,0,0,0,0,0,0,0,1,0
301.397,310.7,1456,33.3,139,0,0,0,0,0,0,0,1,0
299.99,310.5,1567,33.5,12,0,0,0,0,0,0,0,0,1
303.689,312.0,1488,45.06,0,0,0,0,0,0,0,1,0,0
299.016,308.8,1555,39.08,122,0,0,0,0,0,0,0,1,0
296.836,311.4,1268,50.28,168,1,0,0,0,0,0,0,1,0
300.384,311.4,1410,66.16,79,0,0,0,0,0,0,0,0,1
299.452,310.7,1441,36.57,47,0,0,0,0,0,0,0,1,0
300.049,309.4,1489,48.55,15,0,0,0,0,0,0,0,0,1
298.966,309.6,1888,18.78,145,0,0,0,0,0,0,0,0,1
297.422,307.8,1601,32.75,74,0,0,0,0,0,0,0,1,0
299.111,310.7,1426,48.82,144,0,0,0,0,0,0,0,1,0
300.954,311.0,1379,39.15,199,0,0,0,0,0,0,0,1,0
303.455,312.0,1348,51.85,28,0,0,0,0,0,0,0,0,1
300.638,311.1,1481,19.02,107,0,0,0,1,0,0,0,0,1
297.53,309.8,1418,44.47,133,0,0,0,0,0,0,0,1,0
298.573,310.7,1422,42.82,11,0,0,0,0,0,0,0,1,0
300.492,310.2,1354,48.96,7,0,0,0,0,0,0,0,1,0
298.973,308.9,1432,53.01,92,0,0,0,0,0,0,0,1,0
300.776,311.4,1441,47.37,34,0,0,0,0,0,0,0,1,0
297.686,308.8,1634,25.66,198,0,0,0,0,0,0,0,1,0
302.307,310.8,1598,33.3,77,0,0,0,0,0,0,0,1,0
299.214,309.1,1457,41.82,31,0,0,0,0,0,0,0,1,0
297.572,308.6,1525,39.94,2,0,0,0,0,0,0,0,1,0
302.072,311.8,1546,36.4,29,0,0,0,0,0,0,0,1,0
298.79,308.7,1484,38.2,117,0,0,0,0,0,0,0,1,0
300.424,311.5,1438,42.53,71,0,0,0,0,0,0,0,1,0
299.866,311.0,1430,46.1,191,0,0,0,0,0,0,0,1,0
301.952,311.7,1531,30.61,125,0,0,0,0,0,0,0,1,0
298.249,309.5,1381,53.79,187,0,0,0,0,0,0,0,0,1
297.689,308.9,1470,42.44,72,0,0,0,0,0,0,0,1,0
300.475,310.5,1366,48.24,146,0,0,0,0,0,0,0,1,0
297.657,307.4,1516,36.65,153,0,0,0,0,0,0,0,1,0
301.379,311.3,1533,47.24,199,0,0,0,0,0,0,0,0,1
299.988,309.2,1435,43.62,144,0,0,0,0,0,0,0,1,0
298.337,310.2,1600,38.96,35,0,0,0,0,0,0,0,1,0
300.76,311.0,1400,54.67,3,0,0,0,0,0,0,0,1,0
